,,,,
INDICE,COLOR,TIPO,TEXTO,FLAVOR
28,Verde,Musica,Venezuela,El himno sentimental que hace llorar instantáneamente a cualquier venezolano que esté a más de 50 kilómetros de la frontera.
29,Verde,Musica,El Alma Llanera,"La señal internacional de que la fiesta SE ACABÓ. Si suena esto, recoge tus cosas, busca tus zapatos y vete, porque van a prender las luces blancas."
30,Verde,Musica,1 y 1 es igual a 3,El himno oficial del infiel arrepentido que intenta usar matemáticas creativas para explicar por qué lo vieron con otra en el centro comercial.
31,Verde,Musica,Llorarás,La canción que te hace bailar salsa aunque tengas dos pies izquierdos y estés sufriendo por un amor que te dejó limpio.
32,Verde,Musica,"El ""Cumpleaños Feliz""","La tortura psicológica de 15 minutos donde te cantan cuatro canciones distintas, te meten el ""ay, qué noche tan preciosa"" y terminas con dolor de aplaudir."
33,Verde,Guachafitas,"""Al fondo hay puesto""","La mentira más grande del transporte público. El ""fondo"" no existe, es una dimensión desconocida donde la gente viaja flotando."
34,Verde,Guachafitas,"Un ""bajón"" de luz justo cuando vas a guardar la tesis","El microinfarto nacional. El momento exacto donde ves la pantalla negra y recuerdas que no habías apretado ""Control + G"" desde 2023."
35,Verde,Personajes,La tía que te manda cadenas de Piolín por WhatsApp,"Tu dosis diaria de ""Bendiciones, sobrino"" acompañada de un GIF brillante que pesa 45 megabytes y te colapsa la memoria del teléfono."
36,Verde,Guachafitas,"El ""Vuelto"" en caramelos","La moneda de curso legal impuesta por los comercios. Nadie sabe cuántos mentados de menta equivalen a un dólar, pero todos los aceptamos."
37,Verde,Guachafitas,Un chisme en el trabajo,Información clasificada que corre más rápido que la fibra óptica de Cantv y que muta tres veces antes de llegar a la oficina del jefe.
38,Verde,Guachafitas,Quedarse sin agua a mitad del baño,El drama trágico caribeño. El instante en que descubres que el tanque falló y te toca buscar el tobito con los ojos cerrados.
39,Verde,Guachafitas,"El pana que dice ""Voy saliendo""","El manejo de la física cuántica del tiempo. Su ""voy saliendo"" significa que llegará en dos horas y probablemente oliendo a jabón recién usado."
40,Verde,Guachafitas,Juego de dominó un domingo por la tarde,"Un deporte extremo donde se habla de política, se toma cerveza, se grita y se tranca la cochina con violencia dramática sobre la mesa."
41,Verde,Guachafitas,Motorizado esquivando la lluvia bajo un puente,Una convención espontánea de 40 personas con impermeables que trancan la autopista mientras esperan que pase la nube.
42,Verde,Guachafitas,El olor a tierra mojada cuando empieza mayo,La señal de la naturaleza de que preparen los tobos porque se viene el invierno (y las goteras del techo).
43,Verde,Personajes,"La ""Chola"" de tu mamá",El único proyectil teledirigido del mundo que dobla las esquinas de la casa para impactar con precisión milimétrica en tu cabeza.
44,Verde,Evento,Un Caracas-Magallanes,"El evento que divide familias, destruye noviazgos y paraliza al país por el simple placer de decirle al otro ""llorón""."
45,Verde,Personajes,El señor que vende helados en la playa,Un atleta de alto rendimiento que camina 15 kilómetros sobre la arena caliente cargando un cajón de anime mientras grita sin micrófono.
46,Verde,Guachafitas,"""Háblame, chamo""","El saludo universal que puede significar desde un cordial ""buenos días"" hasta un ""estás en problemas y necesito que me expliques""."
47,Verde,Objetos,Carro con los amortiguadores vencidos,Un vehículo que parece una licuadora andante y te hace sentir cada piedrita de la carretera directo en los riñones.
48,Verde,Guachafitas,"El ""Toque de queda"" de la abuela","Las 9:00 p.m. Después de esa hora, si no estás en la casa, asume que estás en las noticias o que ya no formas parte de la familia."
49,Verde,Personajes,Lila Morillo,El verdadero misterio de la ciencia venezolana. Se rumorea que tiene el secreto de la eterna juventud y que sobrevivirá al fin del mundo junto a los coquitos.
50,Verde,Personajes,Er Conde del Guácharo,"El embajador honorario de la ""mamadera de gallo"". Capaz de hacerte reír y ofenderte al mismo tiempo con una sola palabra de cuatro letras."
51,Verde,Personajes,Oscar D'León,El hombre que tiene más energía a las 3:00 a.m. que cualquier joven de 20 años después de tres cafés. ¡Sabroooso!
52,Verde,Comida,Una empanada de cazón en la playa,"Manjar de los dioses que sabe mejor si viene acompañada de salsa de ajo, un chorrito de limón y moscas apuradas por probarla."
53,Verde,Comida,Una empanada de queso en la playa,"Chamo, ¿de verdad?"
54,Verde,Comida,La última papa frita del plato,"El motivo real por el cual se han terminado grandes amistades y matrimonios en este país. Se mira, pero no se toca sin permiso."
55,Verde,Comida,Un Toddy bien frío,"El abrazo en un vaso que cura el mal de amor, el cansancio y cualquier crisis existencial. Dejar los grumos arriba es ley."
56,Verde,Comida,Pirulín,"La moneda de cambio emocional más valiosa del mercado. Si te regalan uno de los grandes, es amor verdadero."
57,Verde,Objetos,Un autobús con la música a todo volumen,Una discoteca móvil con olor a gasoil donde el chofer cree que está compitiendo en la Fórmula 1 y es el DJ al mismo tiempo.
58,Verde,Evento,La cola de la gasolina,"El club social interactivo más grande del país. Donde juegas dominó, haces amigos para toda la vida y replanteas tu futuro a las 4:00 a.m."
59,Verde,Objetos,La calor Maracucha,"Un fenómeno termodinámico que te hace sentir que estás caminando directamente sobre la superficie del sol, pero con un cepillao en la mano."
60,Verde,Evento,Bajón de luz,El enemigo silencioso que te hace saltar de la cama a las 2:00 a.m. a desenchufar la nevera como si fueras un experto en desactivar bombas.
61,Verde,Guachafitas,"El ""Te lo dije"" de tu Mamá","La frase más temida, precisa y científicamente comprobada de la historia. Tiene un 100% de efectividad y duele más que un chancletazo."
62,Verde,Guachafitas,"El ""Ahorita""","Unidad de tiempo indeterminada que puede significar: en 5 minutos, en 3 horas, el próximo mes o, más probablemente, NUNCA."
63,Verde,Personajes,La sifrina,"Habla con una papa en la boca y sufre si el lugar no tiene aire acondicionado. Jura que es de la realeza, pero se le va la luz igual que a ti."
64,Verde,Personajes,"""Malandro"" de cartón","Camina de lado, habla grueso y dice que domina la zona, pero cuando escucha un triquitraqui sale corriendo a esconderse detrás de su mamá."
65,Verde,Personajes,Sugar daddy,Un señor con canas y billetera gorda cuyo único superpoder real es pasar la tarjeta de crédito sin mirar el monto en el punto de venta.
66,Verde,Personajes,La tía evangélica y chismosa,"Te dice que vas directo al infierno por tus tatuajes y tus salidas los viernes, pero se sabe la vida íntima de todos los vecinos de la cuadra."
67,Verde,Personajes,El pana que se cree influencer,"Graba historias mostrando los músculos en el gimnasio, tiene 200 seguidores y le pide prestado al papá para pagar la cuenta."
68,Verde,Personajes,La bendecida y afortunada,"Modelo de redes sociales que viaja a playas exóticas ""trabajando duro"". Su mayor esfuerzo laboral es posar al lado de un señor de 70 años."
69,Verde,Personajes,El bachaquero de la esquina,"Un economista callejero que te calcula el cambio del dólar paralelo, el de mañana y el del mes que viene en tres segundos."
70,Verde,Personajes,Maracucho picado,Un volcán andante de groserías regionales. Capaz de insultar a tus ancestros solo porque le dijiste que en su ciudad hace mucho calor.
71,Verde,Personajes,Gocho despechado,"El peligro hecho ternura. Se toma una botella de licor artesanal, llora con música llanera y llama a la ex a las 3:00 a.m. para pedirle perdón cantadito."
72,Verde,Personajes,La arrecha de barrio,El ser más peligroso del planeta si le quitan el puesto en la cola. Te arma un escándalo que incluye desprendimiento de uñas y pérdida de dignidad.
73,Verde,Personajes,El sabelotodo de la familia,"Ese tío que opina de política, medicina, mecánica y física cuántica con la misma seguridad con la que se toma el tercer ron de la tarde."
74,Verde,Personajes,Amigo de lo ajeno,"Ese personaje que te pide un cigarro, un trago o una empanada y termina consumiéndose la mitad de tus provisiones con toda la frescura del mundo."
75,Verde,Personajes,El vecino fastidioso del condominio,El que pasa el día vigilando quién deja la basura fuera de lugar o quién hace ruido a las 8:01 p.m. para poner la queja en el grupo de WhatsApp.
76,Verde,Personajes,La que no rompe un plato,"Cara de ángel que va a misa los domingos, pero en las fiestas se toma hasta el agua de los floreros y se besa con tres amigos en la misma noche."
77,Verde,Personajes,La tóxica,Tu ex revisando tus historias de Instagram desde un perfil creado hace cinco minutos con la foto de un perrito tierno.
78,Verde,Personajes,El duende que te esconde las llaves,Un ser maligno que habita en todas las casas. Hace que las llaves desaparezcan y luego aparezcan mágicamente en el mismo lugar donde ya buscaste diez veces.
79,Verde,Dichos,"""Gastar pólvora en zamuro""",El acto inútil de intentar enamorar a esa persona que sabes perfectamente que se escribe con medio planeta y no te va a parar ni media bola.
80,Verde,Dichos,"""Chivo que se devuelve se esnuca""","La ley de oro de la mala junta. Si ya dijiste que te ibas a tomar la última fría, te la tomas; arrepentirse a última hora es de cobardes."
81,Verde,Dichos,"""Morder el peine""","Caer redondito en la trampa de tu pareja cuando te pregunta de forma inocente: ""Mi amor, ¿quién es esa persona que te dio 'me gusta'?"""
82,Verde,Guachafitas,Sacar el culo,El arte de la evasión cuando ves venir de lejos al conocido fastidioso que siempre te pide dinero prestado o quiere que le hagas un favor gratis.
83,Verde,Objetos,"El ""rompe colchón""","Un cóctel de mariscos que promete propiedades afrodisíacas milagrosas, pero que por lo general solo te garantiza pasar tres días metido en el baño."
84,Verde,Objetos,La salsita de ajo sospechosa del carrito callejero,"Tiene tres días fuera de la nevera bajo el sol, pero le da ese sabor adictivo que te hace volver a pesar del riesgo de tifoidea."
85,Verde,Objetos,Anís con yogurt de fresa,La bebida oficial de las plazas públicas. Una mezcla satánica que sabe a jarabe para la tos pero te borra la memoria en media hora.
86,,Objetos,Una chicha con exceso de leche condensada,Un cemento estomacal tan denso y dulce que te drena la energía y te obliga a dormir una siesta de cinco horas.
87,,Objetos,Sopa de mondongo con pata de vaca,Un caldo espeso capaz de revivir a un muerto por resaca o de matar a un vivo por indigestión fulminante.
88,,Objetos,El guayoyo amargo de oficina,"Un café que parece agua de paraguas, hecho con la colada del día anterior, que solo sirve para mantenerte alterado y con acidez."
89,,Objetos,Vallenato cortavenas a las 4:00 a.m.,"El detonante definitivo para que los hombres barbudos empiecen a llorar, abracen a sus amigos y llamen a la ex diciendo ""te extraño""."
90,,Personajes,Sandy y Papo,"La música que despierta los instintos de baile prohibidos en cualquier tía de más de 50 años en medio de la sala, ""Eh Eh, es hora de bailar""."
91,,Objetos,Reguetón viejo (2006),Ese que saca tu lado más alegre y te hace olvidar por completo que tienes un título universitario y dos diplomados.
92,,Objetos,La hora loca,El momento exacto donde la elegancia de la fiesta se va al demonio y el cumpleañero termina gateando con una corbata amarrada en la frente.
93,,Objetos,Salsa brava,"Música que te hace bailar en una ""baldoza"" y te da una excusa para abrazar a tu pareja de turno."
94,,Objetos,"El ""visto"" azul de WhatsApp",Esos diez minutos de silencio sepulcral donde revisas si todavía tienes pulso mientras esperas a ver si te mandan a lavarte ese culo.
95,,Guachafitas,Tarjeta rechazada por fondos insuficientes,El momento más humillante de la existencia humana. Deseas que la tierra se abra y te trague junto con el código 51.
96,,Evento,Quedarse sin papel tualé en baño ajeno,"El drama existencial donde revisas desesperadamente el basurero, el rollo vacío y terminas sacrificando una media."
97,,Evento,Ir a un motel y encontrarte un conocido,Una situación de alta tensión donde ambos se miran a través del parabrisas y firman un pacto implícito de silencio absoluto.
98,,Personajes,El mecánico,"Un cirujano automotriz que le cambia un tornillo a tu carro, te habla con términos inventados y te deja limpio por los próximos tres meses."
99,,Personajes,La reunión de condominio,El evento anual donde los vecinos decentes se transforman en gladiadores romanos por culpa de una filtración o de una mascota inquieta.
100,,Personajes,"El conocido que te invita a ""ser tu propio jefe""",Un estafador piramidal con traje alquilado que te cita en un café para explicarte cómo ganar millones vendiendo batidos o monedas virtuales.
101,,Evento,Revisar el teléfono de tu pareja mientras se baña,"Un deporte extremo no apto para cardíacos. Sabes que el que busca encuentra, pero igual ahí estás tú intentando adivinar la clave."
102,,Evento,Hacerse el dormido en el autobús para no dar el puesto,Un acto de bajeza moral donde ensayas tu mejor cara de coma profundo mientras sientes la mirada juzgadora de todo el colectivo.
103,,Objetos,Un piropo de albañil con exceso de creatividad,Una construcción poética callejera tan explícita y ordinaria que te hace dudar de si te están halagando o te están amenazando.
104,,Personajes,El pana que se vuelve insoportable con dos tragos,"Pasa de ser un tipo tranquilo a querer pelear con el mesonero, romper un vaso y confesarle su amor a la novia de su mejor amigo."
105,,Personajes,El parquero de la calle,Un guía que solo aparece cuando vas a arrancar para pedirte una colaboración por haber visto cómo chocabas contra el poste.
106,,Evento,"""A la derecha ciudadano""","El momento donde sudas frío, te acuerdas de todos tus pecados y rezas para que no se den cuenta de que tienes el documento vencido."
107,,Evento,Comer caraotas tres días seguidos,Una decisión gastronómica deliciosa que se convierte en una bomba de tiempo si tienes una reunión en una oficina pequeña con aire acondicionado.
108,,Objetos,La rumba en el estacionamiento de una licorería,"Abrir la maleta del carro, poner la música a todo volumen, tomar de un vaso plástico y creerse el dueño del mundo hasta que llega la patrulla."
109,,Objetos,Un tatuaje barato hecho en una sala,Una obra de arte que se suponía era un león imponente y terminó pareciendo un gato desnutrido con mala actitud.
110,,Objetos,Mudanza hecha en el techo de un carro pequeño,"Amarrar una nevera, una lavadora y dos colchones con un solo mecate y subir la autopista rezándole a todos los santos."
111,,Objetos,El pre-despacho antes de ir a la discoteca,"Tomarse media botella de ron barato en la sala de tu casa para no gastar adentro, y llegar tan borracho que el portero no te deja entrar."
112,,Evento,"Ya te hice la transferencia, debe estar por caer",La estafa digital más usada para ganar unas horas de paz con el cobrador mientras consigues el dinero de verdad.
113,,Personajes,El gordito del grupo que siempre tiene calor,Un pana que suda como tapa de olla de presión a los dos minutos de apagar el aire acondicionado y te suplica que prendas el ventilador.
114,,Objetos,Un dolor de barriga repentino en plena calle,La verdadera prueba de fe. Cuando tienes que usar todo tu control mental y espiritual para no pasar una vergüenza histórica en la avenida.
115,,Evento,Ir a la playa y que llueva a los cinco minutos,"La salazón astronómica que arruina el viaje, te moja las empanadas y te obliga a regresarte lleno de arena y frustración."
116,,Objetos,El último trago,Ese vaso misterioso que te tomas a las 5:00 a.m. y te hace prometerle a Dios que más nunca vuelves a tocar el alcohol.
117,,Personajes,Eladio Lárez,"El caballero de la televisión. Un señor tan elegante y correcto que juras que duerme en traje y que te mira con decepción si fallas una pregunta tonta. ""¿Estás seguro?"""
118,,Personajes,Valentina Quintero,"La mujer que ha dormido en todas las posadas y ha comido empanada en todas las carreteras del mapa. si dice que un rancho con piso de tierra es ""espectacular"", tú vas con los ojos cerrados."
119,,Personajes,Osmel Sousa,El hombre que destruyó la autoestima de tres generaciones de mujeres con solo mirarlas de arriba a abajo.
120,,Personajes,Gilberto Correa,La voz oficial de las borracheras elegantes del Poliedro. El señor tenía tanta clase que podía anunciar que venía el fin del mundo y tú aplaudías pensando que era una atracción internacional de Sábado Sensacional.
121,,Personajes,Renny Ottolina,"El fantasma al que todos invocan cuando quieren decir que ""antes todo era mejor""."
122,,Personajes,Daniel Sarcos,"El animador que basó toda su carrera en correr por el escenario, abrazar señoras mayores de la emoción y gritar ""¡Guerra de los sexos!"" a todo pulmón."
123,,Personajes,Viviana Gibelli,"La mujer que perfeccionó el arte de fingir demencia en televisión en vivo mientras lidiaba con hombres intensos, concursos absurdos de meter las manos en urnas con cucarachas y coreografías baratas."
124,,Personajes,Mimí Lazo,La mujer que facturó millones enseñándole a las mujeres despechadas del país que la culpa de su infelicidad siempre es de un hombre sin oficio.
125,,Personajes,Norkys Batista,Una mujer con un cuerpo espectacular pero con una boca que parece un callejón sin salida a las 3:00 a.m.
126,,Personajes,Edgar Ramírez,El chamo que logró el milagro de salir de las novelas baratas de la tarde venezolana para terminar actuando con Robert De Niro.
127,,Personajes,La mujer de Judas,El juego de terror psicológico más grande de la televisión. Tenías a seis viejas millonarias vestidas de novia matando gente a diestra y siniestra. 
128,,Personajes,Mi gorda bella,"Agarraron a una actriz espectacular, la metieron en un traje de goma que parecía un muñeco de Michelin, y nos querían convencer de que nadie se daba cuenta del truco."
129,,Personajes,Voltea pa' que te enamores,"La novela que convenció a las sifrinas de que era buena idea salir con el mecánico o el mototaxista de la esquina porque ""el amor todo lo puede"". Un peligro para la economía familiar."
130,,Personajes,Yulimar Rojas,"Una chama de dos metros que salta tan lejos que viola las leyes de la física y de la gravedad, mientras celebra rompiendo récords mundiales bailando salsa brava frente a los europeos estiraos."
131,,Personajes,Salomón Rondón,"El ""Gladiador"". Un tanque humano cuya única estrategia es chocar contra defensas uruguayos o brasileños como si fuera una buseta sin frenos bajando por la autopista Caracas-La Guaira."
132,,Personajes,Juan Arango,El hombre que tenía un pacto con el diablo en la pierna izquierda.
133,,Personajes,Greivis Vásquez,"El chamo que llegó a la NBA metiendo puro ""chalequeo"" caribeño."
134,,Personajes,Bob Abreu,"""El Comedulce"". Un tipo tan relajado para jugar que parecía que estaba jugando béisbol en la playa con una cerveza en la mano, pero igual te metía un jonrón y te robaba la base en tus narices."
135,,Personajes,Rubén Limardo,El carajito que se fue a Londres con una espada a ganarse una medalla de oro en esgrima (un deporte que en Venezuela solo se practica cuando te van a atracar con un cuchillo).
136,,Personajes,Pastor Maldonado,"El piloto de Fórmula 1 que convirtió las carreras de autos en un juego de carritos chocones de feria. Sabías que el chamo corría rápido, pero la apuesta real en el país era ver en qué vuelta se iba a estrellar."
137,,Personajes,Simón Díaz,El único hombre capaz de cantarle a una vaca enferma o a un caballo viejo y hacer que un malandro de discoteca se ponga a llorar de la nostalgia en plena borrachera.
138,,Personajes,Emilio Lovera,"El hombre que tiene secuestradas todas las voces del país. Si Emilio Lovera se muere, nos quedamos sin el 90% de los personajes cómicos, locutores de radio y borrachos icónicos de la cultura pop."
139,,Personajes,Ricardo Montaner,"El cantautor que vive en una secta familiar gigante en Miami donde todos cantan, todos se visten igual y todos le dan las gracias a Dios por las regalías de las canciones de telenovela de los 90."
140,,Personajes,Gustavo Dudamel,El director de orquesta que mueve las manos como si estuviera espantando un enjambre de avispas africanas mientras los sifrinos de Europa lo aplauden pensando que está interpretando a Beethoven con pasión caribeña.
141,,Personajes,Dayana Mendoza,Una mujer tan absurdamente bella que hacía que las demás candidatas del Miss Universo parecieran las primas feas que invitas a la fiesta por obligación. Su nivel de perfección roza la ilegalidad.
142,,Personajes,José Luis Rodríguez,"El hombre del copete indestructible que se cambió de religión, cambió de familia y ahora vive en Miami dándole consejos espirituales a la gente."
143,,Personajes,Servando y Florentino,Los hermanos que causaron que la mitad de las adolescentes de los 90 perdieran la virginidad mental (y real) en un concierto.
144,,Personajes,Winston Vallenilla,"El animador que vendió su alma al canal del Estado a cambio de poder gritar ""¡Familiaaa!"""
145,,Personajes,Luis Chataing,Su negocio era burlarse de los políticos en la mañana para que la gente atrapada en la cola de la autopista se riera en vez de pegarse un tiro.
146,,Personajes,Juan Gabriel en el Teresa Carreño,Un mexicano cantando despechos mientras los hombres más machistas del país lloraban abrazados tomando whisky de 18 años.
147,,Personajes,Chino y Nacho,Dos chamos que empezaron cantando reguetón ordinario en las discotecas de Caracas y terminaron ganando Grammys en Miami
148,,Personajes,Reinaldo Armas,El cantante de música llanera que tiene el récord nacional de haber musicalizado la mayor cantidad de borracheras con caña clara.
149,,Personajes,La Vinotinto de las Eliminatorias,"Una secta masoquista nacional basada en la frase ""Mano, tengo fe""."
150,,Personajes,Leones del Caracas,Los fanáticos más insoportables del béisbol caribeño.
151,,Personajes,Navegantes del Magallanes,La mitad del país que se viste de pavo real cada vez que le ganan un juego a Caracas.
152,,Personajes,Roque Valero,El cantautor de los sifrinos despechados que pasó de cantar baladas lloronas en RCTV a ganarse un puesto en la asamblea política del gobierno por puro amor al presupuesto nacional.
153,,Personajes,Jeremías,"El cantante flojo que sacó un solo disco exitoso, inventó una teoría matemática absurda para justificar la infidelidad"
154,,Personajes,Hany Kauam,El cantautor con pinta de indigente chic que musicalizó todos los despechos de bachillerato en el 2007.
155,,Personajes,Antonio Ledezma,"""¡SE ESTÁN LLEVANDO A LEDEZMA! ¡SE ESTÁN LLEVANDO A LEDEZMA!""."
156,,Personajes,Juan Guaidó,El presidente interino de Narnia.
157,,,Henrique Capriles,El eterno perdedor con gorra tricolor.
158,,,Diosdi,"Si hablas paja, te va a tocar calarte el calabozo."
159,,,Chiave,"Nadie sabe bien quién es, pero todos lo nombran"
160,,,El Bigoton,Famoso por hablar con pajaritos que reencarnan
161,Roja,Personajes,Luis Aparicio,El único venezolano en el Salón de la Fama de Cooperstown con su número retirado por toda la MLB. Mientras tú no podías ni atrapar una bola en el patio.
162,Roja,Comida,La hallaca recalentada el 6 de enero,"Cuando ya hasta el perro la mira con desprecio, pero igual te la comes porque botar comida es pecado mortal."
163,Roja,Objetos,La planta eléctrica del vecino,El símbolo de estatus del barrio: ruge a las 6 p.m. como un avión despegando y te recuerda que el rico de la cuadra cenará con luz mientras tú abanicas a los muchachos.
164,Roja,Lugares,El Ávila,"El pulmón de Caracas y el único vecino que nunca se mudó, nunca se quejó del ruido y nunca pidió la cuota del condominio. Verde cuando llueve, amarillo cuando arde."
165,Roja,Evento,El apagón nacional de marzo,"El día que el país entero descubrió que sin luz también se acaba el agua, el internet y la paciencia. Sacamos las velas como en tiempos de Bolívar."
166,Roja,Dichos,"""Echarle los perros""","El arte criollo de coquetear sin ninguna sutileza, como si la otra persona fuera una presa de caza y tú el sabueso más insistente del barrio."
167,Roja,Personajes,El buhonero de la avenida,"Tiene un local más surtido que un centro comercial, pero cabe en una sábana que recoge en tres segundos cuando ve la policía."
168,Roja,Guachafitas,Bajarse del carro en plena cola a buscar la causa del trancón,"El investigador privado nacional. Camina 200 metros, descubre que era una vaca acostada en el canal rápido y regresa a contar la novela."
169,Roja,Musica,La gaita zuliana sonando desde el 1° de octubre,El calendario venezolano no se rige por el clima ni por la luna: se rige por el momento en que el centro comercial pone a Maracaibo 15 a todo volumen aunque haga 38°C.
170,Roja,Espanto,La Llorona,La única señora que llora más fuerte que tu vecina cuando le suben el alquiler. Anda buscando a sus hijos por la quebrada y de paso te quita el sueño gratis.
171,Roja,Personajes,Andrés Galarraga,"'El Gran Gato', que bateaba jonrones tan altos que todavía hay pelotas dando vueltas por la órbita de Maracaibo."
172,Roja,Comida,El pabellón criollo completo,"La bandera nacional servida en un plato: caraotas, arroz, carne mechada y tajada. Patriotismo que se mastica."
173,Roja,Objetos,El termo de Avon,"Herencia familiar más sagrada que la casa. Mantiene el café caliente desde 1987 y nadie sabe cómo, pero ay de quien lo bote."
174,Roja,Lugares,Sabana Grande,"El bulevar donde puedes comprar un reloj 'Rolex', un perro caliente y una predicción del futuro con la misma señora, todo en una sola cuadra."
175,Roja,Evento,La quincena que dura dos días,"Cobras el 15, pagas todo el 16, y el 17 ya estás matando tigre otra vez. La quincena más corta del calendario gregoriano."
176,Roja,Dichos,"""Estar pelando bola""",No tener ni un centavo partido por la mitad. Estado financiero permanente del venezolano entre quincena y quincena.
177,Roja,Personajes,El guachimán del edificio,"El verdadero dueño del condominio. Sabe a qué hora llegas, con quién y por qué, pero jura que «no vio nada»."
178,Roja,Guachafitas,Tener tres canaimitas en la casa y ninguna prende,El cementerio de tablets del gobierno. Sirven de posavasos y de espejo para sacarse los pelos de la nariz.
179,Roja,Musica,Cardenales del Éxito,"Que suenen a las 7 de la mañana en diciembre es ley no escrita de la abuela. Si no hay gaita prendida, es porque no hay luz."
180,Roja,Espanto,La Bola de Fuego,"Una candela que rueda por la sabana de noche y que, según los abuelos, es un alma en pena. Según el municipio, es un transformador que volvió a explotar."
181,Roja,Personajes,Omar Vizquel,Sacaba outs con la mano pelada como si estuviera espantando un zancudo. El guante era pura decoración.
182,Roja,Comida,El asado negro de la abuela,Tan oscuro y tan sabroso que te hace dudar de tu fe en la cocina de tu mamá. Nadie sabe el secreto y nadie lo sabrá jamás.
183,Roja,Objetos,Las cholas,"Calzado nacional multiusos: para la casa, para la bodega, para correr al carro y, en mano de tu mamá, arma teledirigida de precisión quirúrgica."
184,Roja,Lugares,El Metro de Caracas,"Antes el orgullo de Latinoamérica; hoy una sauna rodante donde aprendes el olor de toda la ciudad sin pedirlo. 'Por favor, dejen salir antes de entrar' (nadie obedece)."
